学籍番号:1203033123
氏名:西田裕一
台形則によるexp(x)の積分
   N       T
   1 1.859140914230
   2 1.753931092465
   4 1.727221904558
   8 1.720518592164
  16 1.718841128580
  32 1.718421660316
  64 1.718316786850
 128 1.718290568083
 256 1.718284013367
 512 1.718282374686
1024 1.718281965016
===========================
台形則によるcos(x)の積分
   N       T
   1 0.583853163453
   2 0.832228887595
   4 0.890274325576
   8 0.904556562121
  16 0.908113137358
  32 0.909001412297
  64 0.909223426807
 128 0.909278927047
 256 0.909292801895
 512 0.909296270594
1024 0.909297137768
2048 0.909297354561
