学籍番号:1203033123
氏名:西田裕一
シンプソン則によるexp(x)の積分
   N       S
   2 1.718861151877
   4 1.718318841922
   8 1.718284154700
  16 1.718281974052
  32 1.718281837562
  64 1.718281829028
 128 1.718281828495
 256 1.718281828461
 512 1.718281828459
1024 1.718281828459
==============================
シンプソン則によるcos(x)の積分
   N       S
   2 0.915020795642
   4 0.909622804904
   8 0.909317307636
  16 0.909298662437
  32 0.909297503944
  64 0.909297431644
 128 0.909297427127
 256 0.909297426845
 512 0.909297426827
1024 0.909297426826
2048 0.909297426826
